Command_Code,Command_Name
001 DET                                                     ,001 DET SQUAD
001 PCT                                                     ,001 PRECINCT
005 DET                                                     ,005 DET SQUAD
005 PCT                                                     ,005 PRECINCT
006 DET                                                     ,006 DET SQUAD
006 PCT                                                     ,006 PRECINCT
007 DET                                                     ,007 DET SQUAD
007 PCT                                                     ,007 PRECINCT
009 DET                                                     ,009 DET SQUAD
009 PCT                                                     ,009 PRECINCT
010 DET                                                     ,010 DET SQUAD
010 PCT                                                     ,010 PRECINCT
013 DET                                                     ,013 DET SQUAD
013 PCT                                                     ,013 PRECINCT
017 DET                                                     ,017 DET SQUAD
017 PCT                                                     ,017 PRECINCT
019 DET                                                     ,019 DET SQUAD
019 PCT                                                     ,019 PRECINCT
020 DET                                                     ,020 DET SQUAD
020 PCT                                                     ,020 PRECINCT
023 DET                                                     ,023 DET SQUAD
023 PCT                                                     ,023 PRECINCT
024 DET                                                     ,024 DET SQUAD
024 PCT                                                     ,024 PRECINCT
025 DET                                                     ,025 DET SQUAD
025 PCT                                                     ,025 PRECINCT
026 DET                                                     ,026 DET SQUAD
026 PCT                                                     ,026 PRECINCT
028 DET                                                     ,028 DET SQUAD
028 PCT                                                     ,028 PRECINCT
030 DET                                                     ,030 DET SQUAD
030 PCT                                                     ,030 PRECINCT
032 DET                                                     ,032 DET SQUAD
032 PCT                                                     ,032 PRECINCT
033 DET                                                     ,033 DET SQUAD
033 PCT                                                     ,033 PRECINCT
034 DET                                                     ,034 DET SQUAD
034 PCT                                                     ,034 PRECINCT
040 DET                                                     ,040 DET SQUAD
040 PCT                                                     ,040 PRECINCT
041 DET                                                     ,041 DET SQUAD
041 PCT                                                     ,041 PRECINCT
042 DET                                                     ,042 DET SQUAD
042 PCT                                                     ,042 PRECINCT
043 DET                                                     ,043 DET SQUAD
043 PCT                                                     ,043 PRECINCT
044 DET                                                     ,044 DET SQUAD
044 PCT                                                     ,044 PRECINCT
045 DET                                                     ,045 DET SQUAD
045 PCT                                                     ,045 PRECINCT
046 DET                                                     ,046 DET SQUAD
046 PCT                                                     ,046 PRECINCT
047 DET                                                     ,047 DET SQUAD
047 PCT                                                     ,047 PRECINCT
048 DET                                                     ,048 DET SQUAD
048 PCT                                                     ,048 PRECINCT
049 DET                                                     ,049 DET SQUAD
049 PCT                                                     ,049 PRECINCT
050 DET                                                     ,050 DET SQUAD
050 PCT                                                     ,050 PRECINCT
052 DET                                                     ,052 DET SQUAD
052 PCT                                                     ,052 PRECINCT
060 DET                                                     ,060 DET SQUAD
060 PCT                                                     ,060 PRECINCT
061 DET                                                     ,061 DET SQUAD
061 PCT                                                     ,061 PRECINCT
062 DET                                                     ,062 DET SQUAD
062 PCT                                                     ,062 PRECINCT
063 DET                                                     ,063 DET SQUAD
063 PCT                                                     ,063 PRECINCT
066 DET                                                     ,066 DET SQUAD
066 PCT                                                     ,066 PRECINCT
067 DET                                                     ,067 DET SQUAD
067 PCT                                                     ,067 PRECINCT
068 DET                                                     ,068 DET SQUAD
068 PCT                                                     ,068 PRECINCT
069 DET                                                     ,069 DET SQUAD
069 PCT                                                     ,069 PRECINCT
070 DET                                                     ,070 DET SQUAD
070 PCT                                                     ,070 PRECINCT
071 DET                                                     ,071 DET SQUAD
071 PCT                                                     ,071 PRECINCT
072 DET                                                     ,072 DET SQUAD
072 PCT                                                     ,072 PRECINCT
073 DET                                                     ,073 DET SQUAD
073 PCT                                                     ,073 PRECINCT
075 DET                                                     ,075 DET SQUAD
075 PCT                                                     ,075 PRECINCT
076 DET                                                     ,076 DET SQUAD
076 PCT                                                     ,076 PRECINCT
077 DET                                                     ,077 DET SQUAD
077 PCT                                                     ,077 PRECINCT
078 DET                                                     ,078 DET SQUAD
078 PCT                                                     ,078 PRECINCT
079 DET                                                     ,079 DET SQUAD
079 PCT                                                     ,079 PRECINCT
081 DET                                                     ,081 DET SQUAD
081 PCT                                                     ,081 PRECINCT
083 DET                                                     ,083 DET SQUAD
083 PCT                                                     ,083 PRECINCT
084 DET                                                     ,084 DET SQUAD
084 PCT                                                     ,084 PRECINCT
088 DET                                                     ,088 DET SQUAD
088 PCT                                                     ,088 PRECINCT
090 DET                                                     ,090 DET SQUAD
090 PCT                                                     ,090 PRECINCT
094 DET                                                     ,094 DET SQUAD
094 PCT                                                     ,094 PRECINCT
100 DET                                                     ,100TH DET SQUAD
100 PCT                                                     ,100 PRECINCT
101 DET                                                     ,101ST DET SQUAD
101 PCT                                                     ,101 PRECINCT
102 DET                                                     ,102ND DET SQUAD
102 PCT                                                     ,102 PRECINCT
103 DET                                                     ,103RD DETECTIVE SQUAD
103 PCT                                                     ,103 PRECINCT
104 DET                                                     ,104TH DET SQUAD
104 PCT                                                     ,104 PRECINCT
105 DET                                                     ,105TH DET SQUAD
105 PCT                                                     ,105 PRECINCT
106 DET                                                     ,106TH DET SQUAD
106 PCT                                                     ,106 PRECINCT
107 DET                                                     ,107TH DET SQUAD
107 PCT                                                     ,107 PRECINCT
108 DET                                                     ,108TH DET SQUAD
108 PCT                                                     ,108 PRECINCT
109 DET                                                     ,109TH DET SQUAD
109 PCT                                                     ,109 PRECINCT
110 DET                                                     ,110TH DET SQUAD
110 PCT                                                     ,110 PRECINCT
111 DET                                                     ,111TH DET SQUAD
111 PCT                                                     ,111 PRECINCT
112 DET                                                     ,112TH DET SQUAD
112 PCT                                                     ,112 PRECINCT
113 DET                                                     ,113TH DET SQUAD
113 PCT                                                     ,113 PRECINCT
114 DET                                                     ,114TH DET SQUAD
114 PCT                                                     ,114 PRECINCT
